Mode,Category,Subcategory,Note,Income/Expense,Amount(Pounds),date
Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,Expense,11.089680000000001,
Saving Bank account 1,Food,Lunch,Catering Service,Expense,0.552,
Cash,Food,Milk,Half lit  milk,Expense,0.3404,
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-08-22
Cash,Food,Tea,cutting chai,Expense,0.1104,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Saving Bank account 1,subscription,Netflix,1 month subscription,Expense,1.8308,2024-08-19
Saving Bank account 1,Food,curd,Dahi 2 packets,Expense,0.184,
Cash,Food,Milk,Half lit  milk,Expense,0.3312,
Cash,Apparel,Clothes,Pants,Expense,18.4,2024-08-17
Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,Income,0.2024,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4444,
Cash,Food,Sweets,Warna Srikhand half kg,Expense,2.668,
Cash,Food,flour mill,M D sure 4kg atta,Expense,1.9872,
Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,Income,1.1408,
Cash,Family,Pocket money,,Expense,0.276,
Cash,Food,snacks,Dahi,Expense,0.2944,
Cash,Household,Kirana,Toothpaste Patanjali,Expense,1.472,
Cash,Apparel,Laundry,8 clothes ironing,Expense,0.5152,
Cash,Food,Ice cream,Vanila family pack,Expense,1.058,
Cash,Household,Appliances,5 litres can Distilled water,Expense,0.9199999999999999,
Cash,Household,home decor,Brass Puja plate and diva,Expense,2.024,
Cash,Food,Grocery,Half kg Lahsoon,Expense,0.414,
Cash,Household,Kirana,Supermart,Expense,5.4648,
Cash,Food,Ice cream,Vanila cup,Expense,0.092,
Cash,Food,Ice cream,chocobar,Expense,0.184,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-08-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-08-13
Cash,Food,snacks,8 kachori,Expense,0.8832,2024-08-11
Cash,Family,Pocket money,,Expense,0.322,2024-08-10
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-08-07
Cash,Beauty,grooming,hair cut,Expense,0.9199999999999999,2024-08-06
Cash,Family,Pocket money,,Expense,0.9199999999999999,2024-08-05
Cash,Food,Tea,cutting chai,Expense,0.092,2024-08-05
Credit Card,Health,Health,eyewear Glasses payment remaining,Expense,39.56,2024-08-05
Credit Card,Apparel,Clothing,For Family,Expense,31.372,2024-08-05
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,2024-08-05
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,2024-08-05
Credit Card,Family,clothes,Bows,Expense,3.6616,2024-08-05
Saving Bank account 1,Other,,From Family,Income,0.9199999999999999,2024-08-03
Cash,Family,Pocket money,,Expense,18.4,2024-08-03
Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,Income,1.656,2024-08-03
Cash,Household,Kirana,Supermart,Expense,0.1656,2024-08-02
Cash,Food,flour mill,M D sure 4kg atta,Expense,1.9872,2024-08-02
Cash,Health,Health,eyewear Glasses advance,Expense,9.2,2024-08-02
Cash,Family,Pocket money,,Expense,0.368,2024-08-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-08-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-08-01
Cash,Apparel,Laundry,13 clothes ironing,Expense,0.8371999999999999,
Saving Bank account 1,Money transfer,Home,,Expense,276.0,
Cash,maid,,July salary,Expense,18.4,
Cash,Food,chocolate,10 melody,Expense,0.092,
Saving Bank account 1,Salary,,From workplace ,Income,646.346,
Cash,Health,Medicine,Glucose D(50) + flora bc (40)+cyra 20(10),Expense,0.9199999999999999,
Cash,Health,Medicine,,Expense,1.2144,
Saving Bank account 1,Food,Lunch,Catering Service,Expense,1.9504,
Cash,Food,breakfast,1 plates poha,Expense,0.22999999999999998,
Saving Bank account 1,Food,Eating out,Paneer pizza,Expense,2.392,
Cash,Transportation,auto,Decathlon Place A to Place A station,Expense,0.45999999999999996,
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,
Saving Bank account 1,Transportation,Train,2 Place 0 to Place A returns,Expense,0.368,
Cash,Food,breakfast,Medu vada 3 plate,Expense,0.966,
Cash,Family,Pocket money,,Expense,1.8399999999999999,
Debit Card,Culture,Movie,2 INOX ,Expense,4.4285120000000004,
Cash,Food,vegetables,,Expense,1.794,
Credit Card,Household,Kirana,Supermart,Expense,34.5,
Saving Bank account 1,Other,,Demat account charges,Expense,7.5992,
Cash,Food,Biscuits,Toast packet,Expense,0.368,
Saving Bank account 1,Tax refund,,,Income,62.376,
Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.4168,
Cash,Food,breakfast,4 plates poha,Expense,0.9199999999999999,
Cash,Household,Kirana,Supermart,Expense,3.3856,
Cash,Food,fruits,Khajur pav kg,Expense,0.276,
Saving Bank account 1,Food,snacks,2 Bhajipav + 2 vadapav,Expense,0.552,
Cash,Food,Biscuits,Toast packet,Expense,0.414,
Cash,Food,Ice cream,chocobar,Expense,0.184,
Cash,Food,Potato,potato 1kg,Expense,0.22999999999999998,
Cash,Food,Onions,onion 1 kg,Expense,0.22999999999999998,
Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,Expense,1.426,
Cash,Health,Medicine,Cataract Medicine,Expense,0.8004,
Credit Card,Health,Medicine,Cataract Medicine,Expense,9.6416,
Cash,Food,curd,Dahi 4 packets,Expense,0.368,
Cash,Food,flour mill,M D sure 4kg atta,Expense,1.9872,
Cash,Apparel,Laundry,12 clothes ironing,Expense,0.7727999999999999,
Credit Card,Household,Hardware,Sony WI-C100 earphones wireless,Expense,10.948,
Cash,Food,snacks,7 kachori,Expense,0.7727999999999999,
Cash,Food,fruits,,Expense,0.276,
Cash,Food,vegetables,,Expense,4.6,
Cash,Food,snacks,4 kachori,Expense,0.4416,
Saving Bank account 1,Other,,CA  - income tax filing,Expense,18.4,
Saving Bank account 1,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,Expense,1.7296,
Credit Card,Health,Medicine,Cataract Medicine,Expense,12.493599999999999,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-07-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-07-13
Cash,Food,Eggs,6 eggs,Expense,0.322,2024-07-12
Cash,Food,Bread,2 bread packets,Expense,0.5244,2024-07-11
Saving Bank account 1,Dividend earned on Shares,,Tata Steel Stocks,Income,1.656,2024-07-10
Cash,Transportation,Petrol,3.4 Lit Petrol,Expense,3.312,2024-07-09
Cash,Food,Biscuits,Toast packet,Expense,0.184,2024-07-09
Cash,Food,Grocery,Shev bhaji sev pav kg,Expense,0.552,2024-07-09
Cash,Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,Expense,1.702,2024-07-08
Saving Bank account 1,Food,Tea,3 cutting chai,Expense,0.276,2024-07-08
Credit Card,Health,Medicine,eye drop,Expense,1.4076,2024-07-08
Cash,Health,Hospital,Hospital consultation,Expense,4.6,2024-07-08
Cash,Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,Expense,1.196,2024-07-08
Saving Bank account 1,Transportation,Taxi,To and Fro Cab Fare Contribution,Expense,6.21,2024-07-08
Cash,Transportation,Train,Place 4 to Place 0,Expense,0.092,2024-07-07
Credit Card,Food,Lunch,At restaurant,Expense,0.0184,2024-07-07
Saving Bank account 1,subscription,Mahanagar Gas,,Expense,1.8032,2024-07-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-07-07
Cash,Food,Dinner,At restaurant,Expense,6.992,2024-07-06
Cash,Transportation,Taxi,Park Inn Goa,Expense,0.9199999999999999,2024-07-06
Cash,Transportation,auto,Terminal 1 to Terminal 2,Expense,0.7636,2024-07-05
Cash,Food,Tea,cutting chai,Expense,0.0644,2024-07-05
Cash,Transportation,auto,Current Residence to Place 0,Expense,0.138,2024-07-05
Cash,Transportation,Train,Place 0 to Place P,Expense,0.184,2024-07-05
Cash,Health,Hospital,Doctor Fees,Expense,0.9199999999999999,2024-07-04
Cash,Beauty,grooming,Shaving,Expense,0.45999999999999996,2024-07-04
Cash,Family,Pocket money,,Expense,3.2199999999999998,2024-07-04
Saving Bank account 1,Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),Expense,13.248,2024-07-04
Cash,maid,,,Expense,4.6,2024-07-03
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3312,2024-07-03
Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.4168,2024-07-03
Saving Bank account 1,Dividend earned on Shares,,Infosys Stocks,Income,0.483,2024-07-03
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-07-03
Saving Bank account 1,Household,Kirana,Supermart,Expense,14.674,2024-07-02
Cash,Transportation,auto,Place 1 bridge to Current Residence 2 seats,Expense,0.45999999999999996,2024-07-02
Cash,Transportation,Bus,2 Place 6 Stand to MS,Expense,0.184,2024-07-02
Credit Card,Household,home decor,Face towels + shampoo,Expense,5.7592,2024-07-02
Cash,Transportation,Bus,2 Place 1 to  mall,Expense,0.2392,2024-07-02
Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,Expense,0.368,2024-07-02
Debit Card,Culture,Movie,2 PVR ,Expense,4.2412,2024-07-01
Credit Card,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,Expense,17.387999999999998,2024-07-01
Saving Bank account 1,Food,snacks,Vadapav,Expense,0.138,2024-07-01
Saving Bank account 1,Apparel,Clothing,undergarments pair of Jockey,Expense,3.956,2024-07-01
Cash,Apparel,Laundry,clothes ironing,Expense,0.9016,2024-07-01
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,2024-07-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-07-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-07-01
Saving Bank account 1,Household,Appliances,Aqugurad PRV,Expense,11.04,
Saving Bank account 1,Dividend earned on Shares,,Asian paints Stocks,Income,0.3956,
Saving Bank account 1,Interest,,interest paid,Income,3.1464,
Saving Bank account 1,Salary,,From workplace ,Income,599.1224,
Saving Bank account 1,Dividend earned on Shares,,HUL Stocks,Income,0.4048,
Cash,Household,Hardware,Tulsi plant+ pot,Expense,0.644,
Cash,Household,Kitchen,Math tap repair,Expense,0.45999999999999996,
Cash,Household,Appliances,3 bulbs 3 pencil cells,Expense,2.484,
Credit Card,Food,Dinner,Home Food Delivery,Expense,4.186,
Cash,Food,snacks,Bhaji + vadapav + kachori+ tea,Expense,0.644,
Cash,Transportation,Taxi,Vadala road to Nehru Planetarium,Expense,2.0976,
Credit Card,Apparel,Footwear,Mast & Harbour Slides,Expense,0.5963439999999999,
Credit Card,Tourism,Entry Fees,Planetarium,Expense,2.8414200000000003,
Saving Bank account 1,Other,,From Family,Income,27.599999999999998,
Cash,Food,Tea,2 cups,Expense,0.1288,
Cash,Household,gadgets,Mobile cover real mi note pro,Expense,0.9199999999999999,
Credit Card,Other,,Shopping at Alfa,Expense,43.424,
Cash,Household,gadgets,Mouse pad,Expense,0.9199999999999999,
Credit Card,Apparel,Accessories,Purse,Expense,4.14,
Credit Card,Apparel,Footwear,Rainy season chappal,Expense,5.06,
Cash,Transportation,auto,Place P station to Alfa market,Expense,0.22999999999999998,
Cash,Transportation,Train,2 Place 0 to Place P return,Expense,0.736,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Share Market Trading,Saving Bank account 1,,Refund,Transfer-Out,23.456228,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Credit Card,Household,Kirana,Supermart,Expense,18.308,
Saving Bank account 1,Household,Appliances,Aqugurad water purifier,Expense,120.06,
Saving Bank account 1,Household,Hardware,Umbrella handle repair,Expense,0.644,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Cash,Food,Tea,2 cutting chai,Expense,0.184,
Cash,Food,snacks,Bhaji + vadapav,Expense,0.276,
Saving Bank account 1,Food,Lunch,Home Food Delivery,Expense,2.944,
Credit Card,Household,Kirana,Smart point,Expense,19.0808,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.368,
Saving Bank account 1,Food,breakfast,Bread,Expense,0.1656,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Credit Card,Health,Health,Suppliemnts,Expense,1.9481,
Cash,Transportation,Train,2 Place 5 to Place 0,Expense,0.276,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4444,
Cash,Food,snacks,2 Vadapav 2 samosa pav,Expense,0.552,
Credit Card,subscription,Mobile Service Provider,Annual recharge,Expense,23.413999999999998,
Cash,Transportation,auto,,Expense,0.276,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,1.6652,
Saving Bank account 1,Family,Pocket money,,Expense,18.4,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,0.22999999999999998,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,0.138,
Saving Bank account 1,Share Market,,,Transfer-Out,78.2,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,0.138,
Saving Bank account 1,Transportation,train,2CC Place 2 to DDR Spl Train,Expense,11.165119999999998,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-06-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-06-13
Cash,Food,Eggs,12 eggs,Expense,0.7727999999999999,2024-06-11
Credit Card,Self-development,,Marathon,Expense,12.9444,2024-06-11
Saving Bank account 1,Household,home decor,Sofa covers,Expense,27.599999999999998,2024-06-10
Credit Card,subscription,Mobile Service Provider,Data booster pack,Expense,6.1364,2024-06-09
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-06-07
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-06-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-06-01
Saving Bank account 1,Salary,,From workplace ,Income,599.2328,
Saving Bank account 1,Dividend earned on Shares,,HDFC Stocks,Income,0.8096,
Credit Card,subscription,Mobile Service Provider,Data booster pack,Expense,0.22999999999999998,
Cash,Beauty,grooming,hair cut,Expense,0.9199999999999999,
Saving Bank account 2,Interest,,interest paid,Income,0.2576,
Cash,Household,Kirana,Soap + dahya pav kg,Expense,0.69,
Cash,Transportation,auto,Permanent Residence to Motor Driving school,Expense,0.45999999999999996,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,6.1364,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.5272,
Cash,Health,Health,2 All out refill,Expense,1.4168,
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-05-22
Cash,Family,Pocket money,,Expense,1.288,
Saving Bank account 1,Family,misc,"Soap, shampoo, razor",Expense,1.1224,
Cash,Household,Kitchen,flour mill,Expense,0.22999999999999998,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,0.138,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,2.7692,
Saving Bank account 1,Food,Ice cream,Cookies & cream family pack,Expense,1.242,
Cash,Transportation,auto,within city,Expense,0.276,
Saving Bank account 1,Household,Appliances,LG Washing Machine,Expense,197.79999999999998,
Cash,Transportation,auto,Permanent Residence to GH road,Expense,0.45999999999999996,
Saving Bank account 1,Amazon pay cashback,,,Income,0.19319999999999998,
Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,Expense,2.7692,
Cash,Other,,Digilock room charges,Expense,0.368,
Cash,Transportation,auto,Place 2 station to Permanent Residence,Expense,0.45999999999999996,
Cash,Food,snacks,Potato chips,Expense,0.138,
Saving Bank account 1,Food,fruits,2 dozens mango + 1kg litchi,Expense,11.5,
Cash,Transportation,Train,2 Place 0 to Place 3,Expense,0.368,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.368,
Cash,Apparel,Laundry,clothes ironing,Expense,0.7084,
Cash,Education,Stationary,Gel pen Refills,Expense,0.1104,
Cash,scrap,,,Income,0.184,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-05-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-05-13
Credit Card,Food,Dinner,Domino's Pizza,Expense,4.0203999999999995,2024-05-12
Cash,Food,Lunch,Catering Service,Expense,0.644,2024-05-12
Cash,Food,snacks,4 kachori,Expense,0.4416,2024-05-12
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,2024-05-12
Cash,Food,Rajgira ladu,1 packet,Expense,0.184,2024-05-11
Saving Bank account 1,Food,Ice cream,2 Faluda,Expense,0.736,2024-05-10
Saving Bank account 1,Other,,NEFT from Big Share Services,Income,8.7124,2024-05-10
Cash,subscription,Newspaper,Mata + TOI + ET,Expense,0.1104,2024-05-09
Cash,Food,Biscuits,Toast packet,Expense,0.414,2024-05-09
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-05-09
Credit Card,subscription,Netflix,,Expense,1.8308,2024-05-09
Cash,Food,Sweets,Kaju katli half kg,Expense,4.6,2024-05-08
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,2024-05-08
Cash,Beauty,grooming,Shaving,Expense,0.45999999999999996,2024-05-08
Credit Card,Household,Toiletries,Handwash container2 + window cleaner,Expense,9.9912,2024-05-07
Cash,Transportation,Bike,Mall parking,Expense,0.184,2024-05-07
Saving Bank account 1,subscription,Mahanagar Gas,,Expense,4.7379999999999995,2024-05-07
Saving Bank account 1,Food,Lunch,Home Food Delivery,Expense,3.956,2024-05-07
Cash,Food,Milk,milk 1lit ,Expense,0.6624,2024-05-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-05-07
Saving Bank account 1,Other,,From Family,Income,27.599999999999998,2024-05-06
Cash,Family,Pocket money,,Expense,5.52,2024-05-05
Cash,Household,Kirana,Supermart,Expense,0.3404,2024-05-04
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,2024-05-04
Saving Bank account 1,Food,snacks,Bhaji + vadapav,Expense,0.368,2024-05-03
Saving Bank account 1,Food,fruits,Mango 1.5 kg,Expense,2.576,2024-05-02
Cash,Food,Milk,milk 1lit ,Expense,0.6624,2024-05-01
Saving Bank account 1,Health,Medicine,ITone eye drops,Expense,0.3956,2024-05-01
Saving Bank account 1,Health,Medicine,Refresh Tears Drop,Expense,1.1224,2024-05-01
Cash,Family,Pocket money,,Expense,2.392,2024-05-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-05-01
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-05-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-05-01
Cash,Food,snacks,6 kachori,Expense,0.6624,
Cash,Household,Kirana,Supermart,Expense,1.518,
Credit Card,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.6192,
Cash,Food,Biscuits,Toast packet,Expense,0.414,
Cash,Food,Milk,milk 1lit ,Expense,0.6624,
Cash,Gift,,To Family,Expense,4.6,
Saving Bank account 1,Food,beverage,2 sugarcane juice,Expense,0.368,
Saving Bank account 1,Salary,,From workplace ,Income,599.2328,
Credit Card,Food,Dinner,Home Food Delivery,Expense,3.7996,
Cash,Family,Pocket money,,Expense,4.6,
Cash,Household,Kirana,Supermart,Expense,2.714,
Cash,Food,snacks,Noodles packet,Expense,0.276,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Cash,Family,Pocket money,,Expense,9.2,
Cash,Food,Lunch,Catering Service,Expense,0.644,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4444,
Saving Bank account 1,Household,Kirana,Idli pith 1kg,Expense,0.3496,
Cash,maid,,,Expense,4.6,
Cash,Food,vegetables,,Expense,0.092,
Cash,Household,Kirana,Supermart,Expense,1.748,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Cash,Food,Ice cream,Naturals,Expense,1.472,
Cash,Food,curd,Dahi 2 packets,Expense,0.184,
Saving Bank account 1,Food,Dinner,Sugaran Kitchen,Expense,0.644,
Cash,Household,Kitchen,flour mill,Expense,0.1288,
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.3312,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Cash,Food,Milk,milk 1lit ,Expense,0.6624,
Saving Bank account 1,Education,Stationary,3 Pens,Expense,0.19319999999999998,
Saving Bank account 1,Apparel,Laundry,clothes ironing,Expense,0.5796,
Saving Bank account 1,Household,Kirana,Cockroach injection,Expense,2.484,
Saving Bank account 1,Household,Kirana,Supermart,Expense,2.438,
Credit Card,Household,Kirana,Smart point,Expense,4.14,
Cash,Food,snacks,pav Bhaji,Expense,0.644,
Cash,Food,Tea,2 cutting chai,Expense,0.184,
Credit Card,Household,Kitchen,"Vessels for sugar, coffee and tea",Expense,7.3508,
Credit Card,Family,makeup,Body mist,Expense,4.83,
Cash,Transportation,Bike,Station Parking,Expense,0.092,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Cash,Food,Lunch,Catering Service,Expense,0.644,
Saving Bank account 1,Household,Kirana,Supermart,Expense,0.9843999999999999,
Saving Bank account 1,Food,Grocery,Pizza base packet 2,Expense,0.368,
Saving Bank account 1,Food,Biscuits,Khari packet,Expense,0.414,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6624,
Cash,Health,Lab Tests,Family Thyroid Test + CBC,Expense,6.4399999999999995,
Saving Bank account 1,Small Cap fund 2,,,Transfer-Out,46.0,2024-04-13
Saving Bank account 1,Small cap fund 1,,,Transfer-Out,46.0,2024-04-13
Credit Card,subscription,Netflix,,Expense,1.8308,2024-04-12
Cash,Household,Kirana,,Expense,1.0304,2024-04-12
Cash,Food,snacks,Pattice,Expense,0.184,2024-04-12
Cash,Food,Lunch,Catering Service,Expense,1.196,2024-04-12
Cash,Food,breakfast,Bread,Expense,0.1656,2024-04-10
Cash,Food,Lunch,Catering Service,Expense,0.644,2024-04-10
Saving Bank account 1,Gift,,farewell contribution,Expense,2.3,2024-04-10
Cash,Food,Grocery,Ginger,Expense,0.092,2024-04-09
Cash,Food,Milk,milk 1lit ,Expense,0.6624,2024-04-09
Credit Card,Household,Kirana,Supermart,Expense,17.0844,2024-04-07
Cash,Household,Kirana,Pav kg chana dal,Expense,0.2208,2024-04-07
Cash,Food,Milk,Half lit  milk,Expense,0.3312,2024-04-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-04-07
Saving Bank account 1,Money transfer,Home,,Expense,225.4,2024-04-06
Cash,Household,Kirana,Idli pith 1kg,Expense,0.3496,2024-04-05
Cash,Food,Eggs,6 eggs,Expense,0.3312,2024-04-05
Cash,Food,Milk,milk 1lit ,Expense,0.6624,2024-04-05
Cash,Food,Lunch,Catering Service,Expense,1.196,2024-04-05
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,115.0,2024-04-03
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-04-03
Cash,Transportation,Bike,Mall parking,Expense,0.184,2024-04-02
